Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_8x10,1,100u,
"D1, D2, D3, D4, D5, D6, D7, D8",D_SOD-523,8,MSK4005,
D9,0603,1,LED,
"J1, J2, J3, J4, J5, J6, J7, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,8,B2B-PH-K-S(LF)(SN),
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J9,IDC-Header_2x05_P2.54mm_Vertical,1,C5665,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,BSS138,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,1k,
R9,0603,1,2.4k,
"S1, S2, S3, S4, S5, S6, S7, S8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,XH,
